firstName,lastName,year,teamname,leaguename,phase,draftRound,overall,signed,"drafting team",draftPosit,borndate,place,ht,WT,Bats,Throws,draftRegionID,PlayerID,retroid,mlbid,playerClass,schoolDivision,g,ab,r,h,dbl,tpl,hr,rbi,sb,cs,bb,so,hbp,sh,sf,ibb,gdp,tb,pa,xbh,sgl,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr
Philip,Diedrick,2015,"Western Kentucky","Conference USA",June-Reg,29,884,Y,"Washington Nationals",OF,9/17/1992,"Kingston,ON",'6-1,210,L,R,KY,156662,,592264,Sr,"NCAA 1",52,179,17,52,9,0,8,22,1,1,18,40,5,0,2,0,4,85,204,17,35,.291,.368,.475,.843,.285,.184,.331,8.82,19.61,2.22,22.38
Steven,Duggar,2015,Clemson,"Atlantic Coast Conference",June-Reg,6,186,Y,"San Francisco Giants",OF,11/4/1993,"Spartanburg,SC",'6-1,187,L,R,SC,160738,duggs001,621453,Jr,"NCAA 1",61,227,56,69,12,1,5,43,10,5,54,49,3,0,8,0,3,98,292,18,51,.304,.432,.432,.864,.388,.128,.354,18.49,16.78,0.91,45.40
Jordan,George,2015,"Arkansas State","Sun Belt Conference",June-Reg,35,1057,Y,"Pittsburgh Pirates",1B,7/16/1992,"Blytheville,AR",'6-2,200,B,R,AR,162140,,665009,Sr,"NCAA 1",55,203,38,81,22,1,3,34,9,4,52,28,16,2,1,0,2,114,274,26,55,.399,.548,.562,1.110,.443,.163,.451,18.98,10.22,0.54,67.67
Jake,Kalish,2015,"George Mason","Atlantic 10 Conference",June-Reg,32,969,Y,"Kansas City Royals",P,7/9/1991,"Red Bank,NJ",'6-2,210,B,L,VA,162819,,592455,5S,"NCAA 1",39,136,19,41,6,1,1,25,0,0,19,28,1,3,2,0,4,52,161,8,33,.301,.386,.382,.768,.221,.081,.367,11.80,17.39,1.47,136.00
Edwin,Drexler,2015,"Grambling State","Southwest Athletic Conference",June-Reg,38,1152,Y,"Los Angeles Dodgers",OF,7/1/1992,"Houston,TX",'6-2,185,B,R,LA,162896,,665124,Sr,"NCAA 1",38,142,30,39,4,1,3,18,25,3,24,33,4,2,0,0,0,54,172,8,31,.275,.394,.380,.774,.430,.105,.340,13.95,19.19,1.38,47.33
Shane,Conlon,2015,"Kansas State","Big 12 Conference",June-Reg,34,1028,Y,"Oakland Athletics",1B,2/27/1992,"Downers Grove,IL",'6-1,185,L,L,KS,163114,,642837,5S,"NCAA 1",52,196,36,57,13,2,2,26,10,4,24,18,7,1,2,0,6,80,230,17,40,.291,.384,.408,.792,.270,.117,.309,10.43,7.83,0.75,98.00
Anthony,McIver,2015,"San Diego","West Coast Conference",June-Reg,15,440,Y,"Minnesota Twins",P,4/8/1992,"San Diego,CA",'6-5,210,L,L,CA,163843,,664999,5S,"NCAA 1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,100.00,0.00,0.00
Kyle,Garlick,2015,"Cal Poly Pomona","California Collegiate Athletic Association",June-Reg,28,852,Y,"Los Angeles Dodgers",OF,1/26/1992,"La Habra,CA",'6-0,210,R,R,CA,163920,garlk001,664247,5S,"NCAA 2",63,243,70,87,16,4,17,56,10,0,35,31,10,0,4,0,3,162,292,37,50,.358,.452,.667,1.119,.000,.309,.352,11.99,10.62,0.89,14.29
Greg,Brodzinski,2015,Barry,"Sunshine State Conference",June-Reg,18,534,Y,"Philadelphia Phillies",C,7/23/1991,"Pittsburgh,PA",'6-2,220,R,R,FL,164305,,664919,Sr,"NCAA 2",49,196,38,64,13,0,5,46,2,1,11,15,5,1,6,0,4,92,219,18,46,.327,.367,.469,.836,.204,.142,.324,5.02,6.85,1.36,39.20
Jordan,Tarsovich,2015,"Virginia Military","Southern Conference",June-Reg,22,672,Y,"Los Angeles Dodgers",2B,6/20/1991,"Richmond,VA",'5-10,180,R,R,VA,164849,,664897,Sr,"NCAA 1",50,199,53,67,17,1,9,29,24,6,24,24,7,3,4,0,3,113,237,27,40,.337,.419,.568,.987,.442,.231,.341,10.13,10.13,1.00,22.11
Max,Almonte,2015,Villanova,"Big East Conference",June-Reg,16,491,Y,"St. Louis Cardinals",P,3/4/1992,"Far Rockaway,NY",'6-1,205,R,R,PA,164879,,664998,5S,"NCAA 1",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Sam,Koenig,2015,Milwaukee,"Horizon League",June-Reg,27,825,Y,"Los Angeles Angels",OF,3/16/1992,"Prairie du Sac,WI",'6-4,220,R,R,WI,165030,,641764,5S,"NCAA 1",58,230,58,83,19,2,15,57,6,0,37,50,4,1,2,0,5,151,274,36,47,.361,.454,.657,1.111,.483,.296,.407,13.50,18.25,1.35,15.33
Phil,Pfeifer,2015,Vanderbilt,"Southeastern Conference",June-Reg,3,101,Y,"Los Angeles Dodgers",P,7/15/1992,"Knoxville,TN",'6-0,200,L,L,TN,165095,,547177,Sr,"NCAA 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Vimael,Machin,2015,VCU,"Atlantic 10 Conference",June-Reg,10,293,Y,"Chicago Cubs",SS,9/25/1993,"Humacao,PR",'5-10,185,L,R,VA,165109,machv001,605353,Sr,"NCAA 1",65,254,42,86,13,2,3,53,6,7,27,28,5,0,8,0,2,112,294,18,68,.339,.401,.441,.842,.205,.102,.359,9.18,9.52,1.04,84.67
Andrew,Amaro,2015,Tampa,"Sunshine State Conference",June-Reg,35,1044,Y,"Philadelphia Phillies",OF,4/2/1993,"Philadelphia,PA",'6-1,175,L,R,FL,165133,,607446,Sr,"NCAA 2",43,144,45,45,9,3,3,25,18,4,24,29,9,4,3,0,4,69,184,15,30,.313,.433,.479,.912,.431,.166,.365,13.04,15.76,1.21,48.00
Kewby,Meyer,2015,Nevada,"Mountain West Conference",June-Reg,37,1108,Y,"Tampa Bay Rays",OF,10/27/1992,"Honolulu,HI",'6-1,195,L,L,NV,165151,,605380,Sr,"NCAA 1",55,236,60,81,23,3,6,55,8,4,15,16,4,2,5,0,5,128,262,32,49,.343,.385,.542,.927,.280,.199,.342,5.73,6.11,1.07,39.33
Dante,Flores,2015,USC,"Pacific-12 Conference",June-Reg,18,532,Y,"Chicago White Sox",2B,4/8/1993,"Whittier,CA",'5-9,160,L,R,CA,165167,,607531,Sr,"NCAA 1",59,217,34,66,11,4,5,43,4,1,30,34,6,3,4,0,4,100,260,20,46,.304,.397,.461,.858,.309,.157,.335,11.54,13.08,1.13,43.40
Joe,Pistorese,2015,"Washington State","Pacific-12 Conference",June-Reg,17,515,Y,"Seattle Mariners",P,10/15/1992,"Bellevue,WA",'6-2,175,L,L,WA,165172,,607057,Sr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Kevin,Kramer,2015,UCLA,"Pacific-12 Conference",June-Reg,2,62,Y,"Pittsburgh Pirates",SS,10/3/1993,"Turlock,CA",'6-0,195,L,R,CA,165185,kramk001,596012,Sr,"NCAA 1",61,254,55,82,14,2,7,34,7,8,36,38,11,1,4,0,5,121,306,23,59,.323,.423,.476,.899,.291,.153,.352,11.76,12.42,1.06,36.29
Casey,Thomas,2016,"Texas A&M Corpus Christi","Southland Conference",June-Reg,34,1012,Y,"Oakland Athletics",SS,3/16/1993,"Phoenix,AZ",'5-10,160,R,R,TX,165239,,607744,Sr,"NCAA 1",51,208,31,67,3,6,0,22,5,4,17,24,0,2,3,0,3,82,230,9,58,.322,.368,.394,.762,.159,.072,.358,7.39,10.43,1.41,0.00
Sutton,Whiting,2015,Louisville,"Atlantic Coast Conference",June-Reg,24,713,Y,"Chicago Cubs",SS,5/13/1992,"Youngstown,OH",'5-8,170,B,R,KY,165280,,607768,Sr,"NCAA 1",63,252,39,76,13,2,0,27,15,7,38,54,7,4,0,0,3,93,301,15,61,.302,.407,.369,.776,.250,.067,.384,12.62,17.94,1.42,0.00
Nick,Flair,2015,Tampa,"Sunshine State Conference",June-Reg,34,1035,Y,"Los Angeles Angels",3B,10/31/1992,"New Orleans,LA",'6-3,200,R,R,FL,165307,,607168,Sr,"NCAA 2",51,206,42,67,15,2,9,57,3,0,18,38,7,0,6,0,6,113,237,26,41,.325,.388,.549,.937,.325,.224,.352,7.59,16.03,2.11,22.89
Ryan,Krill,2015,"Michigan State","Big Ten Conference",June-Reg,9,273,Y,"New York Yankees",1b,3/17/1993,"Kalamazoo,MI",'6-4,205,L,R,MI,165319,,607607,Sr,"NCAA 1",56,205,42,72,13,1,13,57,1,3,27,30,8,1,4,0,1,126,245,27,45,.351,.439,.615,1.054,.385,.264,.355,11.02,12.24,1.11,15.77
Tyler,Servais,2015,Princeton,"Ivy League",June-Reg,27,820,Y,"Detroit Tigers",C,11/18/1992,"Houston,TX",'6-2,210,B,R,NJ,165338,,596100,Sr,"NCAA 1",37,110,7,22,6,0,1,3,1,0,4,18,2,3,0,0,6,31,119,7,15,.200,.241,.282,.523,.127,.082,.231,3.36,15.13,4.50,110.00
Conor,Costello,2016,"Oklahoma State","Big 12 Conference",June-Reg,32,971,Y,"Los Angeles Dodgers",P,11/4/1992,"Edmond,OK",'6-3,170,R,R,OK,165345,,607184,5S,"NCAA 1",37,111,16,39,10,1,5,31,4,0,17,26,3,0,1,0,0,66,132,16,23,.351,.447,.595,1.042,.432,.244,.420,12.88,19.70,1.53,22.20
Garrett,Brown,2016,"Western Carolina","Southern Conference",June-Reg,23,705,Y,"Pittsburgh Pirates",OF,3/23/1993,"Hendersonville,NC",'6-0,185,L,R,NC,165347,,607479,Jr,"NCAA 1",58,262,60,84,12,3,4,34,34,8,12,30,9,8,1,0,2,114,292,19,65,.321,.370,.435,.805,.260,.114,.349,4.11,10.27,2.50,65.50
David,Kerian,2015,Illinois,"Big Ten Conference",June-Reg,9,284,Y,"Washington Nationals",1B,2/9/1993,"Dakota Dunes,SD",'6-3,200,B,R,IL,165362,,607596,Sr,"NCAA 1",60,207,46,76,10,2,16,52,9,3,37,28,2,1,3,0,4,138,250,28,48,.367,.462,.667,1.129,.507,.300,.361,14.80,11.20,0.76,12.94
Jack,Graham,2015,"Slippery Rock","Pennylvania State Athletic Conference",June-Reg,38,1153,Y,"Baltimore Orioles",2B,9/10/1992,"Woodbridge,VA",'5-9,190,R,R,PA,165410,,607547,Jr,"NCAA 2",16,27,3,6,1,0,0,2,0,0,3,9,1,1,0,0,0,7,32,1,5,.222,.323,.259,.582,.148,.037,.333,9.38,28.13,3.00,0.00
Josh,Tobias,2015,Florida,"Southeastern Conference",June-Reg,10,294,Y,"Philadelphia Phillies",3B,11/23/1992,"Greensboro,NC",'5-9,195,B,R,FL,165424,,596122,Sr,"NCAA 1",65,231,60,82,14,5,5,46,11,2,23,37,12,0,3,0,2,121,269,24,58,.355,.435,.524,.959,.307,.169,.401,8.55,13.75,1.61,46.20
Tucker,Ward,2015,Mobile,"Southern States Athletic Conference",June-Reg,40,1186,Y,"Arizona Diamondbacks",P,5/10/1992,"Saraland,AL",'6-6,230,R,R,AL,165437,,607761,Sr,NAIA,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Taylor,Guilbeau,2015,Alabama,"Southeastern Conference",June-Reg,10,314,Y,"Washington Nationals",P,5/12/1993,"Baton Rouge,LA",'6-4,187,L,L,AL,165444,guilt001,607555,Sr,"NCAA 1",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Alex,Fernandez,2015,"Nova Southeastern","Sunshine State Conference",June-Reg,25,746,Y,"Miami Marlins",OF,3/30/1993,"Hialeah,FL",'5-10,180,R,R,FL,165447,,595945,Sr,"NCAA 2",52,203,52,63,10,5,11,43,12,0,26,66,7,2,1,0,3,116,239,26,37,.310,.405,.571,.976,.000,.261,.409,10.88,27.62,2.54,18.45
Julius,Gaines,2015,"Florida Intl","Conference USA",June-Reg,33,995,Y,"Seattle Mariners",SS,9/10/1992,"Atlanta,GA",'5-10,160,R,R,FL,165452,,613667,Jr,"NCAA 1",61,248,40,68,4,0,3,28,9,5,17,38,1,4,3,0,8,81,273,7,61,.274,.320,.327,.647,.137,.053,.310,6.23,13.92,2.24,82.67
Sikes,Orvis,2015,"Ole Miss","Southeastern Conference",June-Reg,17,502,Y,"Chicago White Sox",1B,11/12/1992,"Orlando,FL",'6-3,235,L,R,MS,165472,,596062,Sr,"NCAA 1",57,201,41,53,17,0,16,53,1,1,41,57,3,0,1,0,6,118,246,33,20,.264,.394,.587,.981,.527,.323,.287,16.67,23.17,1.39,12.56
Caleb,Whalen,2016,Portland,"West Coast Conference",June-Reg,38,1131,Y,"Milwaukee Brewers",OF,10/19/1992,"Vancouver,WA",'6-2,195,R,R,OR,165483,,607105,5S,"NCAA 1",39,138,32,42,17,1,5,24,5,3,16,39,9,0,5,0,0,76,168,23,19,.304,.399,.551,.950,.377,.247,.374,9.52,23.21,2.44,27.60
Brendon,Hayden,2015,"Virginia Tech","Atlantic Coast Conference",June-Reg,16,474,Y,"Philadelphia Phillies",1B,12/26/1992,"Milwaukee,WI",'6-5,215,L,R,VA,165521,,606997,Sr,"NCAA 1",54,212,40,65,17,0,11,51,1,0,28,40,3,0,4,0,4,115,247,28,37,.307,.389,.542,.931,.373,.235,.327,11.34,16.19,1.43,19.27
Joey,Hawkins,2015,"Missouri State","Missouri Valley Conference",June-Reg,40,1211,Y,"St. Louis Cardinals",SS,3/10/1993,"Oshawa,ON",'5-11,170,R,R,MO,165526,,601705,Sr,"NCAA 1",61,248,38,65,6,2,2,28,5,2,21,37,2,29,3,0,4,81,303,10,55,.262,.321,.327,.648,.161,.065,.297,6.93,12.21,1.76,124.00
Blaise,Salter,2015,"Michigan State","Big Ten Conference",June-Reg,31,940,Y,"Detroit Tigers",1B,6/25/1993,"Detroit,MI",'6-5,245,R,R,MI,165569,,607077,Sr,"NCAA 1",57,220,24,59,13,0,6,40,0,0,13,37,12,0,3,0,1,90,248,19,40,.268,.339,.409,.748,.200,.141,.294,5.24,14.92,2.85,36.67
Matt,Beaty,2015,Belmont,"Ohio Valley Conference",June-Reg,12,372,Y,"Los Angeles Dodgers",C,4/28/1993,"Snellville,GA",'6-0,215,L,R,TN,165577,beatm001,607461,Sr,"NCAA 1",58,238,53,91,24,4,12,76,12,2,32,17,7,0,0,0,8,159,277,40,51,.382,.469,.668,1.137,.462,.286,.378,11.55,6.14,0.53,19.83
Steven,Pallares,2015,"San Diego State","Mountain West Conference",June-Reg,10,308,Y,"Oakland Athletics",OF,4/26/1993,"Fountain Valley,CA",'6-2,185,R,R,CA,167800,,596066,Sr,"NCAA 1",64,256,69,90,17,0,9,48,15,7,37,33,9,3,2,0,0,134,307,26,64,.352,.447,.523,.970,.348,.171,.375,12.05,10.75,0.89,28.44
Seby,Zavala,2015,"San Diego State","Mountain West Conference",June-Reg,12,352,Y,"Chicago White Sox",C,8/28/1993,"Fort Hood,TX",'5-11,205,R,R,CA,167809,zavas001,664874,Jr,"NCAA 1",64,231,42,67,13,1,14,67,4,2,30,52,16,1,6,0,4,124,284,28,39,.290,.399,.537,.936,.385,.247,.310,10.56,18.31,1.73,16.50
Jared,Foster,2015,LSU,"Southeastern Conference",June-Reg,5,165,Y,"Los Angeles Angels",OF,11/2/1992,"Lake Charles,LA",'6-1,200,R,R,LA,167812,,664229,Sr,"NCAA 1",55,212,37,59,12,2,10,35,10,0,14,37,3,4,0,0,4,105,233,24,35,.278,.332,.495,.827,.330,.217,.297,6.01,15.88,2.64,21.20
Chris,Paul,2015,California,"Pacific-12 Conference",June-Reg,6,170,Y,"Minnesota Twins",OF,10/12/1992,"Irvine,CA",'6-2,200,R,R,CA,167841,,664853,Sr,"NCAA 1",54,203,40,66,11,5,9,45,6,3,26,43,3,0,3,0,5,114,235,25,41,.325,.404,.562,.966,.379,.237,.370,11.06,18.30,1.65,22.56
Ben,Meyer,2015,Minnesota,"Big Ten Conference",June-Reg,29,866,Y,"Miami Marlins",P,1/30/1993,"Minneapolis,MN",'6-6,203,L,R,MN,167882,meyeb002,656738,Sr,"NCAA 1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Jeff,Boehm,2015,Illinois-Chicago,"Horizon League",June-Reg,13,405,Y,"Los Angeles Angels",OF,11/4/1992,"Oak Forest,IL",'6-1,215,L,L,IL,167910,,595887,Sr,"NCAA 1",52,198,51,74,16,2,14,67,4,0,37,37,5,0,3,0,1,136,243,32,42,.374,.477,.687,1.164,.520,.313,.400,15.23,15.23,1.00,14.14
Tucker,Tubbs,2015,Memphis,"American Athletic Conference",June-Reg,9,261,Y,"Boston Red Sox",1B,9/11/1992,"Memphis,TN",'6-3,212,R,R,TN,167929,,664844,Sr,"NCAA 1",58,223,41,68,15,0,17,55,7,1,26,27,7,1,1,0,4,134,258,32,36,.305,.393,.601,.994,.439,.296,.283,10.08,10.47,1.04,13.12
Trever,Allen,2015,"Arizona State","Pacific-12 Conference",June-Reg,25,765,Y,"Los Angeles Angels",OF,10/16/1991,"Tempe,AZ",'5-11,196,R,R,AZ,167932,,641305,5S,"NCAA 1",57,213,46,76,17,3,5,31,5,3,14,36,2,2,2,0,3,114,233,25,51,.357,.398,.535,.933,.254,.178,.408,6.01,15.45,2.57,42.60
Jake,Peevyhouse,2015,"Arizona State","Pacific-12 Conference",June-Reg,34,1006,Y,"Arizona Diamondbacks",OF,9/4/1992,"Phoenix,AZ",'5-10,185,L,L,AZ,167939,,661529,Sr,"NCAA 1",57,178,26,51,7,3,2,23,2,5,29,36,2,1,3,0,3,70,213,12,39,.287,.387,.393,.780,.253,.106,.343,13.62,16.90,1.24,89.00
Giovanny,Alfonzo,2015,Tampa,"Sunshine State Conference",June-Reg,21,626,Y,"Miami Marlins",SS,12/19/1992,"Caracas,VZ",'5-11,185,R,R,FL,167942,,595871,Sr,"NCAA 2",51,216,56,73,16,1,10,46,3,1,14,19,6,3,3,0,6,121,242,27,46,.338,.389,.560,.949,.296,.222,.332,5.79,7.85,1.36,21.60
Josh,Delph,2015,"Florida State","Atlantic Coast Conference",June-Reg,37,1125,Y,"Los Angeles Angels",OF,11/9/1992,"Bartow,FL",'6-0,190,L,L,FL,167945,,605208,Sr,"NCAA 1",65,216,43,63,13,0,1,25,5,1,41,46,6,6,1,0,4,79,270,14,49,.292,.417,.366,.783,.282,.074,.365,15.19,17.04,1.12,216.00
Bryant,Holtmann,2015,"Florida State","Atlantic Coast Conference",June-Reg,24,706,Y,"Arizona Diamondbacks",P,2/5/1993,"New Baden,IL",'6-5,200,R,L,FL,167949,,605282,Sr,"NCAA 1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,100.00,0.00,0.00
Blake,Allemand,2015,"Texas A&M","Southeastern Conference",June-Reg,5,151,Y,"Milwaukee Brewers",SS,7/1/1992,"San Antonio,TX",'5-8,185,B,R,TX,167953,,664857,Sr,"NCAA 1",64,245,60,83,14,3,7,40,7,1,38,21,9,5,10,0,4,124,307,24,59,.339,.430,.506,.936,.347,.167,.335,12.38,6.84,0.55,35.00
Jerry,McClanahan,2015,"UC Irvine","Big West Conference",June-Reg,19,583,Y,"Baltimore Orioles",C,6/11/1992,"Arcadia,CA",'6-1,200,R,R,CA,167979,,664995,5S,"NCAA 1",55,181,40,50,8,0,2,16,1,2,44,30,8,5,2,0,3,64,240,10,40,.276,.434,.354,.788,.315,.078,.318,18.33,12.50,0.68,90.50
Garrett,Mundell,2015,"Fresno State","Mountain West Conference",June-Reg,23,693,Y,"New York Yankees",P,2/16/1993,"Lake Forest,CA",'6-6,245,R,R,CA,168013,,656777,Sr,"NCAA 1",4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,100.00,0.00,0.00
Collin,Chapman,2015,Lamar,"Southland Conference",June-Reg,33,988,Y,"Tampa Bay Rays",P,1/1/1993,"Austin,TX",'6-2,205,R,R,TX,168048,,595911,Jr,"NCAA 1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
P.J.,Jones,2015,"Washington State","Pacific-12 Conference",June-Reg,19,575,Y,"Seattle Mariners",C,2/25/1993,"Fort Hood,TX",'5-10,190,R,R,WA,168072,,664914,Sr,"NCAA 1",45,132,16,34,6,0,0,15,7,3,23,21,8,5,2,0,3,40,170,6,28,.258,.394,.303,.697,.250,.045,.301,13.53,12.35,0.91,0.00
Ian,Sagdal,2015,"Washington State","Pacific-12 Conference",June-Reg,16,494,Y,"Washington Nationals",SS,1/6/1993,"Wenatchee,WA",'6-3,190,L,R,WA,168076,,664921,Sr,"NCAA 1",55,205,35,61,13,5,6,34,13,3,30,47,2,5,1,0,3,102,243,24,37,.298,.391,.498,.889,.395,.200,.359,12.35,19.34,1.57,34.17
Garrett,Stubbs,2015,USC,"Pacific-12 Conference",June-Reg,8,229,Y,"Houston Astros",C,5/26/1993,"San Diego,CA",'5-10,170,L,R,CA,168083,stubg001,596117,Sr,"NCAA 1",59,228,51,79,15,1,1,25,20,7,27,31,12,17,4,0,3,99,288,17,62,.346,.435,.434,.869,.263,.088,.390,9.38,10.76,1.15,228.00
Tanner,Donnels,2015,"Loyola Marymount","West Coast Conference",June-Reg,21,640,Y,"Detroit Tigers",1B,8/3/1993,"Houston,TX",'6-2,210,L,R,CA,168086,,664903,Sr,"NCAA 1",55,201,36,62,20,0,6,35,6,5,31,24,4,5,6,0,3,100,247,26,36,.308,.401,.498,.899,.348,.190,.316,12.55,9.72,0.77,33.50
Mitchell,Esser,2015,"Concordia CA","Golden State Athletic Conference",June-Reg,24,735,Y,"Los Angeles Angels",OF,11/10/1992,"San Diego,CA",'6-0,195,L,L,CA,168088,,664228,Sr,NAIA,64,234,45,73,17,3,6,53,24,7,36,36,5,7,0,0,7,114,282,26,47,.312,.415,.487,.902,.402,.175,.349,12.77,12.77,1.00,39.00
Blake,Headley,2015,Nebraska,"Big Ten Conference",June-Reg,20,593,Y,"Chicago Cubs",3B,5/7/1993,"Omaha,NE",'6-2,218,L,R,NE,168097,,664911,Sr,"NCAA 1",56,221,35,60,18,5,2,41,0,5,26,39,1,4,4,0,5,94,256,25,35,.271,.345,.425,.770,.249,.154,.315,10.16,15.23,1.50,110.50
Jared,Cheek,2015,Georgia,"Southeastern Conference",June-Reg,21,623,Y,"Chicago Cubs",P,10/31/1992,"Athens,GA",'5-11,190,B,R,GA,168153,,664907,Sr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Kyle,Martin,2015,"South Carolina","Southeastern Conference",June-Reg,4,114,Y,"Philadelphia Phillies",1B,11/13/1992,"Greenville,SC",'6-2,240,L,L,SC,168171,,657674,Sr,"NCAA 1",57,203,50,71,12,2,14,56,11,1,39,27,5,1,6,0,3,129,254,28,43,.350,.455,.635,1.090,.527,.285,.339,15.35,10.63,0.69,14.50
Gage,Green,2015,"Oklahoma State","Big 12 Conference",June-Reg,35,1062,Y,"Los Angeles Dodgers",C,8/27/1992,"Wichita Falls,TX",'5-10,193,L,R,OK,168189,,665005,Sr,"NCAA 1",58,223,44,65,5,3,5,29,18,3,28,44,16,18,3,0,2,91,288,13,52,.291,.404,.408,.812,.309,.117,.339,9.72,15.28,1.57,44.60
Jon,Perrin,2015,"Oklahoma State","Big 12 Conference",June-Reg,27,811,Y,"Milwaukee Brewers",P,5/23/1993,"Olathe,KS",'6-5,220,R,R,OK,168192,,657714,Sr,"NCAA 1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Jesse,Jenner,2015,"San Diego","West Coast Conference",June-Reg,7,221,Y,"St. Louis Cardinals",C,7/18/1993,"La Mesa,CA",'6-0,205,R,R,CA,168215,,664183,Sr,"NCAA 1",44,159,25,50,10,0,2,27,3,3,14,17,13,1,3,0,3,66,190,12,38,.314,.407,.415,.822,.189,.101,.336,7.37,8.95,1.21,79.50
Angelo,"La Bruna",2015,USC,"Pacific-12 Conference",June-Reg,33,1004,Y,"Washington Nationals",SS,4/15/1992,"La Canada,CA",'5-10,175,R,R,CA,168271,,665031,5S,"NCAA 1",39,76,13,19,3,0,2,9,4,2,7,12,0,0,1,0,0,28,84,5,14,.250,.310,.368,.678,.237,.118,.270,8.33,14.29,1.71,38.00
Sarkis,Ohanian,2015,Duke,"Atlantic Coast Conference",June-Reg,9,265,Y,"Cincinnati Reds",P,8/6/1993,"Englewood,NJ",'5-11,195,R,R,NC,168273,,656810,Sr,"NCAA 1",2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,.000,.000,.000,100.00,0.00,0.00,0.00
A.J.,Murray,2015,"Georgia Tech","Atlantic Coast Conference",June-Reg,14,410,Y,"Minnesota Twins",C,4/4/1993,"Rahway,NJ",'6-2,215,R,R,GA,168293,,596053,Sr,"NCAA 1",55,208,49,58,16,1,15,51,1,1,26,54,5,0,4,0,4,121,243,32,26,.279,.366,.582,.948,.428,.303,.301,10.70,22.22,2.08,13.87
Daniel,Spingola,2015,"Georgia Tech","Atlantic Coast Conference",June-Reg,31,923,Y,"Chicago Cubs",OF,5/5/1993,"Chapel Hill,NC",'6-1,173,L,L,GA,168295,,605487,Sr,"NCAA 1",49,185,30,48,8,1,2,26,6,2,17,27,6,4,0,0,2,64,212,11,37,.259,.341,.346,.687,.200,.087,.295,8.02,12.74,1.59,92.50
Andrew,Guillotte,2015,"McNeese State","Southland Conference",June-Reg,32,962,Y,"Toronto Blue Jays",2B,3/30/1993,"Moss Bluff,LA",'5-8,170,R,R,LA,168357,,665039,Sr,"NCAA 1",57,249,41,78,14,0,2,24,21,0,8,11,7,8,2,0,1,98,274,16,62,.313,.350,.394,.744,.197,.081,.319,2.92,4.01,1.38,124.50
Pat,Porter,2015,"Ohio State","Big Ten Conference",June-Reg,15,439,Y,"Houston Astros",OF,6/10/1993,"Cleveland,OH",'6-0,215,L,L,OH,168404,,664191,Sr,"NCAA 1",55,210,43,71,9,4,11,49,6,3,27,40,6,1,3,0,3,121,247,24,47,.338,.423,.576,.999,.381,.238,.370,10.93,16.19,1.48,19.09
Tim,Proudfoot,2015,"Texas Tech","Big 12 Conference",June-Reg,35,1058,Y,"Oakland Athletics",SS,3/23/1993,"Seattle,WA",'5-10,180,R,R,TX,168440,,656867,Sr,"NCAA 1",35,112,14,26,2,0,2,14,1,1,7,16,1,1,3,0,1,34,124,4,22,.232,.276,.304,.580,.134,.072,.247,5.65,12.90,2.29,56.00
Kevin,Kaczmarski,2015,Evansville,"Missouri Valley Conference",June-Reg,9,269,Y,"New York Mets",OF,12/31/1991,"Cary,IL",'6-0,192,L,R,IN,168470,kaczk001,664842,5S,"NCAA 1",46,185,43,86,19,9,5,57,13,4,28,23,6,0,2,0,3,138,221,33,53,.465,.543,.746,1.289,.481,.281,.509,12.67,10.41,0.82,37.00
