firstName,lastName,year,teamname,leaguename,phase,draftRound,overall,signed,"drafting team",draftPosit,borndate,place,ht,WT,Bats,Throws,draftRegionID,PlayerID,retroid,mlbid,playerClass,schoolDivision,g,ab,r,h,dbl,tpl,hr,rbi,sb,cs,bb,so,hbp,sh,sf,ibb,gdp,tb,pa,xbh,sgl,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr
Gavin,Garay,2017,"St. Petersburg CC","SunCoast Conference",June-Reg,26,787,Y,"New York Mets",SS,6/18/1997,"LaGrangeville,NY",'6-2,205,R,R,FL,203251,,663507,So,NJCAA,48,185,29,66,14,5,5,40,6,5,12,34,4,0,3,0,3,105,204,24,42,.357,.402,.568,.970,.281,.211,.409,5.88,16.67,2.83,37.00
Scotty,Bradley,2019,Indiana,"Big Ten Conference",June-Reg,36,1077,Y,"Toronto Blue Jays",1B,4/6/1997,"Princeton,NJ",'6-2,207,L,R,IN,203282,,663581,Sr,"NCAA 1",51,155,29,40,10,1,10,28,0,1,20,41,5,0,1,0,2,82,181,21,19,.258,.359,.529,.888,.394,.271,.286,11.05,22.65,2.05,15.50
Luke,Miller,2018,Indiana,"Big Ten Conference",June-Reg,22,647,Y,"Philadelphia Phillies",3B,7/17/1996,"Muncie,IN",'6-2,192,R,R,IN,203283,,676366,Jr,"NCAA 1",47,181,27,56,11,0,13,34,1,0,9,35,3,0,3,0,4,106,196,24,32,.309,.347,.586,.933,.331,.277,.316,4.59,17.86,3.89,13.92
Nate,Eaton,2018,"Virginia Military","Southern Conference",June-Reg,21,632,Y,"Kansas City Royals",C,12/22/1996,"Chester,VA",'5-11,200,R,R,VA,203286,eaton001,681987,So,"NCAA 1",52,209,51,60,12,5,8,24,36,5,34,43,8,2,3,0,1,106,256,25,35,.287,.402,.507,.909,.531,.220,.323,13.28,16.80,1.26,26.13
Matt,Pita,2018,"Virginia Military","Southern Conference",June-Reg,12,367,Y,"New York Yankees",RF,4/21/1997,"Lithia,FL",'5-8,175,R,R,VA,203294,,681862,Jr,"NCAA 1",53,226,61,88,21,6,14,48,23,7,23,30,7,0,1,0,4,163,257,41,47,.389,.459,.721,1.180,.504,.332,.404,8.95,11.67,1.30,16.14
Tommy,Jew,2019,"UC Santa Barbara","Big West Conference",June-Reg,13,395,Y,"St. Louis Cardinals",OF,10/26/1997,"Walnut Creek,CA",'6-1,185,R,R,CA,203304,,686845,Sr,"NCAA 1",56,219,49,62,9,6,11,40,20,3,23,44,4,2,7,0,5,116,255,26,36,.283,.352,.530,.882,.429,.247,.298,9.02,17.25,1.91,19.91
Tevin,Mitchell,2019,"UC Santa Barbara","Big West Conference",June-Reg,8,231,Y,"Miami Marlins",OF,5/2/1997,"Clovis,CA",'6-1,170,R,R,CA,203307,,687524,Sr,"NCAA 1",54,184,49,51,11,3,5,37,20,5,22,32,11,1,8,0,3,83,226,19,32,.277,.373,.451,.824,.375,.174,.297,9.73,14.16,1.45,36.80
Matt,Mercer,2018,Oregon,"Pacific-12 Conference",June-Reg,5,159,Y,"Arizona Diamondbacks",P,9/1/1996,"Tacoma,WA",'6-2,180,R,R,OR,203323,,663868,Jr,"NCAA 1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00
Joe,Galindo,2016,"New Mexico State","Western Athletic Conference",June-Reg,13,384,Y,"San Diego Padres",P,5/16/1995,"El Paso,TX",'6-4,225,R,R,NM,203354,,669287,Jr,"NCAA 1",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,100.00,0.00,0.00
Brendan,Donovan,2018,"South Alabama","Sun Belt Conference",June-Reg,7,213,Y,"St. Louis Cardinals",OF,1/16/1997,"Wurzburg,GE",'5-11,210,L,R,AL,203409,donob001,680977,Jr,"NCAA 1",57,202,51,61,17,2,5,55,5,4,50,33,12,0,6,0,3,97,270,24,37,.302,.456,.480,.936,.431,.178,.329,18.52,12.22,0.66,40.40
Dylan,Hardy,2018,"South Alabama","Sun Belt Conference",June-Reg,13,400,Y,"Boston Red Sox",OF,1/20/1997,"Biloxi,MS",'5-11,175,R,R,AL,203412,,681511,Jr,"NCAA 1",57,239,59,79,11,2,4,27,19,1,27,50,6,3,2,0,1,106,277,17,62,.331,.409,.444,.853,.301,.113,.401,9.75,18.05,1.85,59.75
Travis,Swaggerty,2018,"South Alabama","Sun Belt Conference",June-Reg,1,10,Y,"Pittsburgh Pirates",OF,8/19/1997,"Covington,LA",'5-11,200,L,L,AL,203414,swagt001,680552,Jr,"NCAA 1",57,213,57,63,10,0,13,38,9,5,54,38,9,0,1,0,1,112,277,23,40,.296,.455,.526,.981,.502,.230,.307,19.49,13.72,0.70,16.38
Antoine,Duplantis,2019,LSU,"Southeastern Conference",June-Reg,12,358,Y,"New York Mets",OF,9/5/1996,"Lafayette,LA",'5-11,180,L,L,LA,203433,,663858,Sr,"NCAA 1",66,281,63,91,9,3,12,68,6,4,21,30,3,3,1,0,3,142,309,24,67,.324,.376,.505,.881,.263,.181,.329,6.80,9.71,1.43,23.42
Seth,Beer,2018,Clemson,"Atlantic Coast Conference",June-Reg,1,28,Y,"Houston Astros",OF,9/18/1996,"Maryville,IL",'6-2,225,L,R,SC,203447,beers001,666179,Jr,"NCAA 1",63,226,64,68,11,0,22,54,1,0,54,36,13,0,3,0,6,145,296,33,35,.301,.456,.642,1.098,.584,.341,.269,18.24,12.16,0.67,10.27
Ryan,Sloniger,2019,"Penn State","Big Ten Conference",June-Reg,38,1137,Y,"Toronto Blue Jays",C,3/20/1997,"Punxsutawney,PA",'5-11,200,L,R,PA,203466,,675560,Sr,"NCAA 1",41,146,13,32,7,1,2,26,0,1,20,35,3,1,2,0,6,47,172,10,22,.219,.322,.322,.644,.233,.103,.270,11.63,20.35,1.75,73.00
Jake,Ortega,2019,"Cal State Bakersfield","Western Athletic Conference",June-Reg,28,838,Y,"New York Mets",C,7/31/1996,"Laguna Hills,CA",'5-10,175,L,R,CA,203498,,687837,Sr,"NCAA 1",53,190,31,62,9,1,1,25,13,0,21,21,11,4,3,0,2,76,229,11,51,.326,.418,.400,.818,.253,.074,.357,9.17,9.17,1.00,190.00
Bryndan,Arredondo,2017,Lamar,"Southland Conference",June-Reg,23,698,Y,"Baltimore Orioles",C,11/8/1994,"Lubbock,TX",'5-10,190,R,R,TX,203504,,641317,SR,"NCAA 1",55,196,33,61,6,0,5,32,2,0,30,33,4,2,6,0,6,82,238,11,50,.311,.403,.418,.821,.270,.107,.341,12.61,13.87,1.10,39.20
Javeyan,Williams,2019,Southern,"Southwest Athletic Conference",June-Reg,22,656,Y,"San Francisco Giants",OF,6/27/1997,"Breaux Bridge,LA",'5-9,160,L,L,LA,203527,,679490,Sr,"NCAA 1",41,141,40,37,1,5,1,16,30,36,21,10,3,3,9,0,0,51,177,7,30,.262,.351,.362,.713,.206,.100,.259,11.86,5.65,0.48,141.00
